file,width,height,dimensions,ratio,ratio_decimal,status
src/assets/people at zigma/Zigma beyond work/plant celebration/WhatsApp Image 2026-01-30 at 4.11.03 PM.jpeg,1600,900,1600 x 900,16:9,1.777778,ok
src/assets/people at zigma/Zigma beyond work/plant celebration/WhatsApp Image 2026-01-30 at 4.14.10 PM (1).jpeg,867,1156,867 x 1156,3:4,0.75,ok
src/assets/people at zigma/Zigma beyond work/plant celebration/WhatsApp Image 2026-01-30 at 4.14.11 PM (1).jpeg,1156,867,1156 x 867,4:3,1.333333,ok
src/assets/people at zigma/Zigma beyond work/plant celebration/WhatsApp Image 2026-01-30 at 4.14.17 PM.jpeg,4080,3065,4080 x 3065,816:613,1.331158,ok
src/assets/people at zigma/Zigma beyond work/plant celebration/WhatsApp Image 2026-01-30 at 4.17.32 PM.jpeg,1280,591,1280 x 591,1280:591,2.165821,ok
src/assets/people at zigma/Zigma beyond work/plant celebration/WhatsApp Image 2026-03-04 at 10.54.37 AM.jpeg,1600,724,1600 x 724,400:181,2.209945,ok
src/assets/people at zigma/Zigma beyond work/plant celebration/WhatsApp Image 2026-03-04 at 11.01.32 AM.jpeg,1156,868,1156 x 868,289:217,1.331797,ok
src/assets/people at zigma/Zigma beyond work/WhatsApp Image 2025-09-23 at 2.49.15 PM (1).jpeg,1600,1200,1600 x 1200,4:3,1.333333,ok
src/assets/people at zigma/Zigma beyond work/WhatsApp Image 2025-09-23 at 2.49.26 PM.jpeg,1600,1200,1600 x 1200,4:3,1.333333,ok
src/assets/people at zigma/Zigma beyond work/WhatsApp Image 2025-10-17 at 4.53.00 PM (1).jpeg,1600,1200,1600 x 1200,4:3,1.333333,ok
src/assets/people at zigma/Zigma beyond work/WhatsApp Image 2025-11-08 at 10.57.24 AM.jpeg,1280,960,1280 x 960,4:3,1.333333,ok
src/assets/people at zigma/Zigma beyond work/WhatsApp Image 2025-11-10 at 11.43.33 AM.jpeg,1000,450,1000 x 450,20:9,2.222222,ok
src/assets/people at zigma/Zigma beyond work/WhatsApp Image 2025-11-14 at 5.26.01 PM (2).jpeg,1600,1200,1600 x 1200,4:3,1.333333,ok
src/assets/people at zigma/Zigma beyond work/WhatsApp Image 2025-11-14 at 5.26.04 PM.jpeg,1200,1600,1200 x 1600,3:4,0.75,ok
